campaign_id,date,impressions,clicks,conversions,spend
1,2025-01-01,42123,1143,54,3410.2103388428395
1,2025-01-02,30071,527,25,3229.9597831183514
1,2025-01-03,16078,184,7,3167.837292649986
1,2025-01-04,43003,459,11,3528.597247984607
1,2025-01-05,41497,823,26,3088.7748365261573
1,2025-01-06,48083,1052,18,3218.035989461129
1,2025-01-07,27868,643,25,3293.8925443965572
1,2025-01-08,39842,972,23,3139.312062119625
1,2025-01-09,45185,551,12,3322.399087279268
1,2025-01-10,41385,1173,57,3289.853716895647
1,2025-01-11,32839,533,13,3117.426615482853
1,2025-01-12,25625,402,13,3517.7439594855864
1,2025-01-13,49779,525,12,3359.6179859977183
1,2025-01-14,31115,625,24,3387.8953630550313
1,2025-01-15,40089,1014,34,3130.06404424918
1,2025-01-16,24469,574,6,3163.5294217883247
1,2025-01-17,38249,527,18,3619.3705747508006
1,2025-01-18,42308,905,28,3343.8193625379736
1,2025-01-19,40436,541,23,3095.8935638964513
1,2025-01-20,48111,444,19,3432.4252498888027
1,2025-01-21,24007,626,22,3154.261439057805
1,2025-01-22,41714,1002,15,3054.2339529083333
1,2025-01-23,18106,480,22,3461.2314916634223
1,2025-01-24,41893,1074,34,3158.0034091350904
1,2025-01-25,48545,1446,31,3662.9946266519382
1,2025-01-26,25607,542,23,3063.1811690846066
1,2025-01-27,29466,328,14,3322.043102699549
1,2025-01-28,21481,550,15,3386.1531850026913
1,2025-01-29,47130,781,29,3687.0750503161767
1,2025-01-30,43900,977,16,3229.913379054181
1,2025-01-31,27820,439,20,3335.5040282943787
2,2025-02-01,26492,600,15,2056.732151484344
2,2025-02-02,42892,1063,11,1902.6670866179998
2,2025-02-03,13659,345,12,2049.337289295814
2,2025-02-04,44369,1032,49,2046.3863436780505
2,2025-02-05,48166,657,20,1895.451274444061
2,2025-02-06,15771,175,2,1965.5167398200963
2,2025-02-07,47163,512,17,2172.7117064552826
2,2025-02-08,37545,794,13,2177.796756908966
2,2025-02-09,48095,614,19,1825.412333620217
2,2025-02-10,12918,350,10,2191.2932787770937
2,2025-02-11,47672,1341,16,2157.2201024495
2,2025-02-12,19301,305,7,1842.190867415881
2,2025-02-13,40611,702,11,1848.3265487247731
2,2025-02-14,23231,539,16,1900.7523703311758
2,2025-02-15,46157,1298,26,2135.322519756998
2,2025-02-16,22572,505,22,1947.2080631035335
2,2025-02-17,23001,405,14,2039.2119535070785
2,2025-02-18,12525,295,6,2223.778369018982
2,2025-02-19,44552,1322,31,2165.3908218160823
2,2025-02-20,13833,315,10,1993.5632125717775
2,2025-02-21,36821,1060,37,1845.1463968012727
2,2025-02-22,32006,564,16,2067.54039432519
2,2025-02-23,36999,883,19,1980.8253387833706
2,2025-02-24,30506,668,10,1867.5039979463963
2,2025-02-25,19157,454,21,2207.4922524891485
2,2025-02-26,46577,1005,37,1961.807368127017
2,2025-02-27,35162,562,26,1939.8321775051702
2,2025-02-28,38644,642,16,2061.0328023378097
2,2025-03-01,25559,590,21,2014.9156085871339
2,2025-03-02,25458,602,16,2092.249209030962
